game_id,matchup,round,model_a,action_a,belief_a,payoff_a,cumulative_a,raw_output_a,response_time_a,model_b,action_b,belief_b,payoff_b,cumulative_b,raw_output_b,response_time_b,temperature,prompt_version,timestamp
2,Gemini Flash vs Gpt4O Mini,8,Gemini Flash,C,0.95,3,24,"{""belief"": 0.95, ""action"": ""COOPERATE""}",628.4,Gpt4O Mini,C,0.99,3,24,"{""belief"": 0.99, ""action"": ""COOPERATE""}",1031.8,0.7,v1.0,2026-03-27T10:25:47.832765
2,Gemini Flash vs Gpt4O Mini,9,Gemini Flash,C,0.96,3,27,"{""belief"": 0.96, ""action"": ""COOPERATE""}",559.2,Gpt4O Mini,C,0.99,3,27,"{""belief"": 0.99, ""action"": ""COOPERATE""}",836.5,0.7,v1.0,2026-03-27T10:25:55.232427
2,Gemini Flash vs Gpt4O Mini,10,Gemini Flash,C,0.97,3,30,"{""belief"": 0.97, ""action"": ""COOPERATE""}",548.6,Gpt4O Mini,C,0.99,3,30,"{""belief"": 0.99, ""action"": ""COOPERATE""}",1450.3,0.7,v1.0,2026-03-27T10:26:03.234883
2,Gemini Flash vs Gpt4O Mini,11,Gemini Flash,C,0.98,3,33,"{""belief"": 0.98, ""action"": ""COOPERATE""}",621.4,Gpt4O Mini,C,0.99,3,33,"{""belief"": 0.99, ""action"": ""COOPERATE""}",1617.4,0.7,v1.0,2026-03-27T10:26:11.484322
2,Gemini Flash vs Gpt4O Mini,12,Gemini Flash,C,0.98,3,36,"{""belief"": 0.98, ""action"": ""COOPERATE""}",548.1,Gpt4O Mini,C,0.99,3,36,"{""belief"": 0.99, ""action"": ""COOPERATE""}",850.9,0.7,v1.0,2026-03-27T10:26:18.892926
2,Gemini Flash vs Gpt4O Mini,13,Gemini Flash,C,0.99,3,39,"{""belief"": 0.99, ""action"": ""COOPERATE""}",593.4,Gpt4O Mini,C,0.99,3,39,"{""belief"": 0.99, ""action"": ""COOPERATE""}",721.8,0.7,v1.0,2026-03-27T10:26:26.217597
2,Gemini Flash vs Gpt4O Mini,14,Gemini Flash,C,0.99,3,42,"{""belief"": 0.99, ""action"": ""COOPERATE""}",941.2,Gpt4O Mini,C,0.99,3,42,"{""belief"": 0.99, ""action"": ""COOPERATE""}",1396.9,0.7,v1.0,2026-03-27T10:26:34.558276
2,Gemini Flash vs Gpt4O Mini,15,Gemini Flash,C,0.99,3,45,"{""belief"": 0.99, ""action"": ""COOPERATE""}",668.5,Gpt4O Mini,C,0.99,3,45,"{""belief"": 0.99, ""action"": ""COOPERATE""}",751.2,0.7,v1.0,2026-03-27T10:26:41.982116
2,Gemini Flash vs Gpt4O Mini,16,Gemini Flash,C,0.99,3,48,"{""belief"": 0.99, ""action"": ""COOPERATE""}",743.1,Gpt4O Mini,C,0.99,3,48,"{""belief"": 0.99, ""action"": ""COOPERATE""}",786.8,0.7,v1.0,2026-03-27T10:26:49.518263
2,Gemini Flash vs Gpt4O Mini,17,Gemini Flash,C,0.99,3,51,"{""belief"": 0.99, ""action"": ""COOPERATE""}",956.4,Gpt4O Mini,C,0.99,3,51,"{""belief"": 0.99, ""action"": ""COOPERATE""}",1727.2,0.7,v1.0,2026-03-27T10:26:58.208670
2,Gemini Flash vs Gpt4O Mini,18,Gemini Flash,C,0.99,3,54,"{""belief"": 0.99, ""action"": ""COOPERATE""}",1146.4,Gpt4O Mini,C,0.99,3,54,"{""belief"": 0.99, ""action"": ""COOPERATE""}",917.6,0.7,v1.0,2026-03-27T10:27:06.274525
2,Gemini Flash vs Gpt4O Mini,19,Gemini Flash,C,0.99,3,57,"{""belief"": 0.99, ""action"": ""COOPERATE""}",1203.2,Gpt4O Mini,C,0.99,3,57,"{""belief"": 0.99, ""action"": ""COOPERATE""}",959.1,0.7,v1.0,2026-03-27T10:27:14.439165
2,Gemini Flash vs Gpt4O Mini,20,Gemini Flash,D,0.1,5,62,"{""belief"": 0.1, ""action"": ""DEFECT""}",2504,Gpt4O Mini,C,0.99,0,57,"{""belief"": 0.99, ""action"": ""COOPERATE""}",1073.6,0.7,v1.0,2026-03-27T10:27:24.026437
3,Claude Sonnet vs Gpt4O,1,Claude Sonnet,C,0.5,3,3,"{""belief"": 0.50, ""action"": ""COOPERATE""}",808.7,Gpt4O,C,0.5,3,3,"{""belief"": 0.50, ""action"": ""COOPERATE""}",569.5,0.7,v1.0,2026-03-27T10:27:31.426163
3,Claude Sonnet vs Gpt4O,2,Claude Sonnet,C,0.75,3,6,"{""belief"": 0.75, ""action"": ""COOPERATE""}",998.8,Gpt4O,C,0.8,3,6,"{""belief"": 0.80, ""action"": ""COOPERATE""}",616.1,0.7,v1.0,2026-03-27T10:27:39.047839
3,Claude Sonnet vs Gpt4O,3,Claude Sonnet,C,0.85,3,9,"{""belief"": 0.85, ""action"": ""COOPERATE""}",923.1,Gpt4O,C,0.85,3,9,"{""belief"": 0.85, ""action"": ""COOPERATE""}",829.1,0.7,v1.0,2026-03-27T10:27:46.801930
3,Claude Sonnet vs Gpt4O,4,Claude Sonnet,C,0.9,3,12,"{""belief"": 0.90, ""action"": ""COOPERATE""}",2491,Gpt4O,C,0.9,3,12,"{""belief"": 0.90, ""action"": ""COOPERATE""}",578,0.7,v1.0,2026-03-27T10:27:55.878257
3,Claude Sonnet vs Gpt4O,5,Claude Sonnet,C,0.9,3,15,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1793.5,Gpt4O,C,0.95,3,15,"{""belief"": 0.95, ""action"": ""COOPERATE""}",739.2,0.7,v1.0,2026-03-27T10:28:04.415006
3,Claude Sonnet vs Gpt4O,6,Claude Sonnet,C,0.9,3,18,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1568.5,Gpt4O,C,0.95,3,18,"{""belief"": 0.95, ""action"": ""COOPERATE""}",613.9,0.7,v1.0,2026-03-27T10:28:12.600786
3,Claude Sonnet vs Gpt4O,7,Claude Sonnet,C,0.9,3,21,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1279,Gpt4O,C,0.95,3,21,"{""belief"": 0.95, ""action"": ""COOPERATE""}",941.9,0.7,v1.0,2026-03-27T10:28:20.829523
3,Claude Sonnet vs Gpt4O,8,Claude Sonnet,C,0.9,3,24,"{""belief"": 0.90, ""action"": ""COOPERATE""}",980.1,Gpt4O,C,0.95,3,24,"{""belief"": 0.95, ""action"": ""COOPERATE""}",778.7,0.7,v1.0,2026-03-27T10:28:28.592822
3,Claude Sonnet vs Gpt4O,9,Claude Sonnet,C,0.9,3,27,"{""belief"": 0.90, ""action"": ""COOPERATE""}",943.7,Gpt4O,C,0.95,3,27,"{""belief"": 0.95, ""action"": ""COOPERATE""}",647.5,0.7,v1.0,2026-03-27T10:28:36.187351
3,Claude Sonnet vs Gpt4O,10,Claude Sonnet,C,0.9,3,30,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1797,Gpt4O,C,0.95,3,30,"{""belief"": 0.95, ""action"": ""COOPERATE""}",654.4,0.7,v1.0,2026-03-27T10:28:44.651653
3,Claude Sonnet vs Gpt4O,11,Claude Sonnet,C,0.9,3,33,"{""belief"": 0.90, ""action"": ""COOPERATE""}",816.4,Gpt4O,C,0.95,3,33,"{""belief"": 0.95, ""action"": ""COOPERATE""}",623.4,0.7,v1.0,2026-03-27T10:28:52.108023
3,Claude Sonnet vs Gpt4O,12,Claude Sonnet,C,0.9,3,36,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1556,Gpt4O,C,0.95,3,36,"{""belief"": 0.95, ""action"": ""COOPERATE""}",826.5,0.7,v1.0,2026-03-27T10:29:00.494422
3,Claude Sonnet vs Gpt4O,13,Claude Sonnet,C,0.9,3,39,"{""belief"": 0.90, ""action"": ""COOPERATE""}",927.6,Gpt4O,C,0.95,3,39,"{""belief"": 0.95, ""action"": ""COOPERATE""}",1106,0.7,v1.0,2026-03-27T10:29:08.534262
3,Claude Sonnet vs Gpt4O,14,Claude Sonnet,C,0.9,3,42,"{""belief"": 0.90, ""action"": ""COOPERATE""}",5219,Gpt4O,C,0.95,3,42,"{""belief"": 0.95, ""action"": ""COOPERATE""}",957.3,0.7,v1.0,2026-03-27T10:29:20.715112
3,Claude Sonnet vs Gpt4O,15,Claude Sonnet,C,0.9,3,45,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1043.7,Gpt4O,C,0.95,3,45,"{""belief"": 0.95, ""action"": ""COOPERATE""}",722.2,0.7,v1.0,2026-03-27T10:29:28.498478
3,Claude Sonnet vs Gpt4O,16,Claude Sonnet,C,0.9,3,48,"{""belief"": 0.90, ""action"": ""COOPERATE""}",2242.7,Gpt4O,C,0.95,3,48,"{""belief"": 0.95, ""action"": ""COOPERATE""}",851.5,0.7,v1.0,2026-03-27T10:29:37.598572
3,Claude Sonnet vs Gpt4O,17,Claude Sonnet,C,0.9,3,51,"{""belief"": 0.90, ""action"": ""COOPERATE""}",944,Gpt4O,C,0.95,3,51,"{""belief"": 0.95, ""action"": ""COOPERATE""}",583.4,0.7,v1.0,2026-03-27T10:29:45.128557
3,Claude Sonnet vs Gpt4O,18,Claude Sonnet,C,0.9,3,54,"{""belief"": 0.90, ""action"": ""COOPERATE""}",922.1,Gpt4O,C,0.95,3,54,"{""belief"": 0.95, ""action"": ""COOPERATE""}",793.1,0.7,v1.0,2026-03-27T10:29:52.845264
3,Claude Sonnet vs Gpt4O,19,Claude Sonnet,C,0.9,3,57,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1121.2,Gpt4O,C,0.95,3,57,"{""belief"": 0.95, ""action"": ""COOPERATE""}",1019.9,0.7,v1.0,2026-03-27T10:30:00.989895
3,Claude Sonnet vs Gpt4O,20,Claude Sonnet,C,0.9,3,60,"{""belief"": 0.90, ""action"": ""COOPERATE""}",929.5,Gpt4O,C,0.95,3,60,"{""belief"": 0.95, ""action"": ""COOPERATE""}",780.6,0.7,v1.0,2026-03-27T10:30:08.719263
4,Gpt4O Mini vs Gpt4O Mini,1,Gpt4O Mini,C,0.5,3,3,"{""belief"": 0.5, ""action"": ""COOPERATE""}",637.3,Gpt4O Mini,C,0.5,3,3,"{""belief"": 0.5, ""action"": ""COOPERATE""}",666.4,0.7,v1.0,2026-03-27T10:30:16.044962
4,Gpt4O Mini vs Gpt4O Mini,2,Gpt4O Mini,C,0.8,3,6,"{""belief"": 0.8, ""action"": ""COOPERATE""}",752.9,Gpt4O Mini,C,0.7,3,6,"{""belief"": 0.7, ""action"": ""COOPERATE""}",826.8,0.7,v1.0,2026-03-27T10:30:23.630183
4,Gpt4O Mini vs Gpt4O Mini,3,Gpt4O Mini,C,0.9,3,9,"{""belief"": 0.9, ""action"": ""COOPERATE""}",613.2,Gpt4O Mini,C,0.85,3,9,"{""belief"": 0.85, ""action"": ""COOPERATE""}",601.8,0.7,v1.0,2026-03-27T10:30:30.849896
4,Gpt4O Mini vs Gpt4O Mini,4,Gpt4O Mini,C,0.95,3,12,"{""belief"": 0.95, ""action"": ""COOPERATE""}",639.1,Gpt4O Mini,C,0.9,3,12,"{""belief"": 0.9, ""action"": ""COOPERATE""}",687.2,0.7,v1.0,2026-03-27T10:30:38.178568
4,Gpt4O Mini vs Gpt4O Mini,5,Gpt4O Mini,C,0.97,3,15,"{""belief"": 0.97, ""action"": ""COOPERATE""}",820.7,Gpt4O Mini,C,0.95,3,15,"{""belief"": 0.95, ""action"": ""COOPERATE""}",668.3,0.7,v1.0,2026-03-27T10:30:45.682635
4,Gpt4O Mini vs Gpt4O Mini,6,Gpt4O Mini,C,0.98,3,18,"{""belief"": 0.98, ""action"": ""COOPERATE""}",650.8,Gpt4O Mini,C,0.9,3,18,"{""belief"": 0.9, ""action"": ""COOPERATE""}",630.9,0.7,v1.0,2026-03-27T10:30:52.978702
4,Gpt4O Mini vs Gpt4O Mini,7,Gpt4O Mini,C,0.99,3,21,"{""belief"": 0.99, ""action"": ""COOPERATE""}",718.5,Gpt4O Mini,C,0.8,3,21,"{""belief"": 0.8, ""action"": ""COOPERATE""}",671.1,0.7,v1.0,2026-03-27T10:31:00.382822
4,Gpt4O Mini vs Gpt4O Mini,8,Gpt4O Mini,C,0.99,3,24,"{""belief"": 0.99, ""action"": ""COOPERATE""}",616.4,Gpt4O Mini,C,0.75,3,24,"{""belief"": 0.75, ""action"": ""COOPERATE""}",704.2,0.7,v1.0,2026-03-27T10:31:07.708852
4,Gpt4O Mini vs Gpt4O Mini,9,Gpt4O Mini,C,0.99,3,27,"{""belief"": 0.99, ""action"": ""COOPERATE""}",622.8,Gpt4O Mini,C,0.7,3,27,"{""belief"": 0.7, ""action"": ""COOPERATE""}",665.5,0.7,v1.0,2026-03-27T10:31:15.014981
4,Gpt4O Mini vs Gpt4O Mini,10,Gpt4O Mini,C,0.99,3,30,"{""belief"": 0.99, ""action"": ""COOPERATE""}",2938.1,Gpt4O Mini,C,0.65,3,30,"{""belief"": 0.65, ""action"": ""COOPERATE""}",914.5,0.7,v1.0,2026-03-27T10:31:24.881039
4,Gpt4O Mini vs Gpt4O Mini,11,Gpt4O Mini,C,0.99,3,33,"{""belief"": 0.99, ""action"": ""COOPERATE""}",1284,Gpt4O Mini,C,0.6,3,33,"{""belief"": 0.6, ""action"": ""COOPERATE""}",655.2,0.7,v1.0,2026-03-27T10:31:32.823821
4,Gpt4O Mini vs Gpt4O Mini,12,Gpt4O Mini,C,0.99,3,36,"{""belief"": 0.99, ""action"": ""COOPERATE""}",719.8,Gpt4O Mini,C,0.55,3,36,"{""belief"": 0.55, ""action"": ""COOPERATE""}",656.9,0.7,v1.0,2026-03-27T10:31:40.203148
4,Gpt4O Mini vs Gpt4O Mini,13,Gpt4O Mini,C,0.99,3,39,"{""belief"": 0.99, ""action"": ""COOPERATE""}",767.7,Gpt4O Mini,C,0.5,3,39,"{""belief"": 0.5, ""action"": ""COOPERATE""}",636.7,0.7,v1.0,2026-03-27T10:31:47.615729
4,Gpt4O Mini vs Gpt4O Mini,14,Gpt4O Mini,C,0.99,3,42,"{""belief"": 0.99, ""action"": ""COOPERATE""}",693,Gpt4O Mini,C,0.45,3,42,"{""belief"": 0.45, ""action"": ""COOPERATE""}",855.5,0.7,v1.0,2026-03-27T10:31:55.166482
4,Gpt4O Mini vs Gpt4O Mini,15,Gpt4O Mini,C,0.99,3,45,"{""belief"": 0.99, ""action"": ""COOPERATE""}",650.7,Gpt4O Mini,C,0.4,3,45,"{""belief"": 0.4, ""action"": ""COOPERATE""}",933.8,0.7,v1.0,2026-03-27T10:32:02.754173
4,Gpt4O Mini vs Gpt4O Mini,16,Gpt4O Mini,C,0.99,3,48,"{""belief"": 0.99, ""action"": ""COOPERATE""}",875.2,Gpt4O Mini,C,0.35,3,48,"{""belief"": 0.35, ""action"": ""COOPERATE""}",748,0.7,v1.0,2026-03-27T10:32:10.380849
4,Gpt4O Mini vs Gpt4O Mini,17,Gpt4O Mini,C,0.99,3,51,"{""belief"": 0.99, ""action"": ""COOPERATE""}",775.4,Gpt4O Mini,C,0.3,3,51,"{""belief"": 0.3, ""action"": ""COOPERATE""}",659.6,0.7,v1.0,2026-03-27T10:32:17.822070
4,Gpt4O Mini vs Gpt4O Mini,18,Gpt4O Mini,C,0.99,3,54,"{""belief"": 0.99, ""action"": ""COOPERATE""}",833.8,Gpt4O Mini,C,0.25,3,54,"{""belief"": 0.25, ""action"": ""COOPERATE""}",757.5,0.7,v1.0,2026-03-27T10:32:25.423646
4,Gpt4O Mini vs Gpt4O Mini,19,Gpt4O Mini,C,0.99,3,57,"{""belief"": 0.99, ""action"": ""COOPERATE""}",839.7,Gpt4O Mini,C,0.2,3,57,"{""belief"": 0.2, ""action"": ""COOPERATE""}",656,0.7,v1.0,2026-03-27T10:32:32.922405
4,Gpt4O Mini vs Gpt4O Mini,20,Gpt4O Mini,C,0.99,3,60,"{""belief"": 0.99, ""action"": ""COOPERATE""}",1048.1,Gpt4O Mini,C,0.15,3,60,"{""belief"": 0.15, ""action"": ""COOPERATE""}",702.5,0.7,v1.0,2026-03-27T10:32:40.676189
5,Claude Opus vs Gpt4O,1,Claude Opus,C,0.5,3,3,"{""belief"": 0.50, ""action"": ""COOPERATE""}",1612.7,Gpt4O,C,0.5,3,3,"{""belief"": 0.50, ""action"": ""COOPERATE""}",653.8,0.7,v1.0,2026-03-27T10:32:48.954604
5,Claude Opus vs Gpt4O,2,Claude Opus,C,0.75,3,6,"{""belief"": 0.75, ""action"": ""COOPERATE""}",1524,Gpt4O,C,0.75,3,6,"{""belief"": 0.75, ""action"": ""COOPERATE""}",801.5,0.7,v1.0,2026-03-27T10:32:57.282498
5,Claude Opus vs Gpt4O,3,Claude Opus,C,0.85,3,9,"{""belief"": 0.85, ""action"": ""COOPERATE""}",2263.3,Gpt4O,C,0.85,3,9,"{""belief"": 0.85, ""action"": ""COOPERATE""}",723.3,0.7,v1.0,2026-03-27T10:33:06.278163
5,Claude Opus vs Gpt4O,4,Claude Opus,C,0.88,3,12,"{""belief"": 0.88, ""action"": ""COOPERATE""}",2126.3,Gpt4O,C,0.9,3,12,"{""belief"": 0.90, ""action"": ""COOPERATE""}",783.9,0.7,v1.0,2026-03-27T10:33:15.196940
5,Claude Opus vs Gpt4O,5,Claude Opus,C,0.9,3,15,"{""belief"": 0.90, ""action"": ""COOPERATE""}",1793.9,Gpt4O,C,0.95,3,15,"{""belief"": 0.95, ""action"": ""COOPERATE""}",640.6,0.7,v1.0,2026-03-27T10:33:23.636462
5,Claude Opus vs Gpt4O,6,Claude Opus,C,0.92,3,18,"{""belief"": 0.92, ""action"": ""COOPERATE""}",915.3,Gpt4O,C,0.95,3,18,"{""belief"": 0.95, ""action"": ""COOPERATE""}",892.8,0.7,v1.0,2026-03-27T10:33:31.446912
5,Claude Opus vs Gpt4O,7,Claude Opus,C,0.93,3,21,"{""belief"": 0.93, ""action"": ""COOPERATE""}",1162.5,Gpt4O,C,0.95,3,21,"{""belief"": 0.95, ""action"": ""COOPERATE""}",580.2,0.7,v1.0,2026-03-27T10:33:39.194407
5,Claude Opus vs Gpt4O,8,Claude Opus,C,0.94,3,24,"{""belief"": 0.94, ""action"": ""COOPERATE""}",1538.3,Gpt4O,C,0.95,3,24,"{""belief"": 0.95, ""action"": ""COOPERATE""}",821.2,0.7,v1.0,2026-03-27T10:33:47.559259
5,Claude Opus vs Gpt4O,9,Claude Opus,C,0.95,3,27,"{""belief"": 0.95, ""action"": ""COOPERATE""}",1457.8,Gpt4O,C,0.95,3,27,"{""belief"": 0.95, ""action"": ""COOPERATE""}",735,0.7,v1.0,2026-03-27T10:33:55.765898
5,Claude Opus vs Gpt4O,10,Claude Opus,C,0.95,3,30,"{""belief"": 0.95, ""action"": ""COOPERATE""}",934.9,Gpt4O,C,0.95,3,30,"{""belief"": 0.95, ""action"": ""COOPERATE""}",711.3,0.7,v1.0,2026-03-27T10:34:03.415927
5,Claude Opus vs Gpt4O,11,Claude Opus,C,0.95,3,33,"{""belief"": 0.95, ""action"": ""COOPERATE""}",1944.8,Gpt4O,C,0.95,3,33,"{""belief"": 0.95, ""action"": ""COOPERATE""}",620.5,0.7,v1.0,2026-03-27T10:34:11.983437
5,Claude Opus vs Gpt4O,12,Claude Opus,C,0.96,3,36,"{""belief"": 0.96, ""action"": ""COOPERATE""}",886.1,Gpt4O,C,0.95,3,36,"{""belief"": 0.95, ""action"": ""COOPERATE""}",669,0.7,v1.0,2026-03-27T10:34:19.541980
