model,game_id,condition,source,matchup,rho,beta_pd,info_condition,risk_condition,theta,beta_cd,game_condition,role,eta,gamma,beta_ct,beta
Claude Opus,pd_pd_results_ai_temp6_20260603_172605_5_4,ai,PD,Claude Opus vs Claude Sonnet,,0.0825,,,,,,,,,,0.0825
Claude Sonnet,pd_pd_results_ai_temp6_20260603_172605_5_4,ai,PD,Claude Opus vs Claude Sonnet,,0.0825,,,,,,,,,,0.0825
GPT-4o,pd_pd_results_ai_temp6_20260603_172605_5_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.0825,,,,,,,,,,0.0825
GPT-4o-mini,pd_pd_results_ai_temp6_20260603_172605_5_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.09,,,,,,,,,,0.09
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260603_172605_5_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.052,,,,,,,,,,0.052
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260603_172605_5_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,0.0,0.2625,,,,,,,,,,0.2625
Claude Opus,pd_pd_results_ai_temp6_20260607_190734_6_1,ai,PD,Claude Opus vs GPT-4o,,0.1025,,,,,,,,,,0.1025
GPT-4o,pd_pd_results_ai_temp6_20260607_190734_6_1,ai,PD,Claude Opus vs GPT-4o,,0.0825,,,,,,,,,,0.0825
Claude Opus,pd_pd_results_ai_temp6_20260607_190734_6_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.0995,,,,,,,,,,0.0995
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260607_190734_6_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.034,,,,,,,,,,0.034
GPT-4o,pd_pd_results_ai_temp6_20260607_190734_6_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.9231,0.24,,,,,,,,,,0.24
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260607_190734_6_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.4091,0.474,,,,,,,,,,0.474
Claude Opus,pd_pd_results_ai_temp6_20260607_190734_6_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1065,,,,,,,,,,0.1065
Claude Sonnet,pd_pd_results_ai_temp6_20260607_190734_6_4,ai,PD,Claude Opus vs Claude Sonnet,,0.089,,,,,,,,,,0.089
GPT-4o,pd_pd_results_ai_temp6_20260607_190734_6_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.0615,,,,,,,,,,0.0615
GPT-4o-mini,pd_pd_results_ai_temp6_20260607_190734_6_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.09,,,,,,,,,,0.09
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260607_190734_6_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,0.0,0.1375,,,,,,,,,,0.1375
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260607_190734_6_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.2875,,,,,,,,,,0.2875
Claude Opus,pd_pd_results_ai_temp6_20260607_192204_7_1,ai,PD,Claude Opus vs GPT-4o,,0.106,,,,,,,,,,0.106
GPT-4o,pd_pd_results_ai_temp6_20260607_192204_7_1,ai,PD,Claude Opus vs GPT-4o,,0.0825,,,,,,,,,,0.0825
Claude Opus,pd_pd_results_ai_temp6_20260607_192204_7_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.099,,,,,,,,,,0.099
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260607_192204_7_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.13,,,,,,,,,,0.13
GPT-4o,pd_pd_results_ai_temp6_20260607_192204_7_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.9444,0.1575,,,,,,,,,,0.1575
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260607_192204_7_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0,0.2725,,,,,,,,,,0.2725
Claude Opus,pd_pd_results_ai_temp6_20260607_192204_7_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1095,,,,,,,,,,0.1095
Claude Sonnet,pd_pd_results_ai_temp6_20260607_192204_7_4,ai,PD,Claude Opus vs Claude Sonnet,,0.0825,,,,,,,,,,0.0825
GPT-4o,pd_pd_results_ai_temp6_20260607_192204_7_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.0825,,,,,,,,,,0.0825
GPT-4o-mini,pd_pd_results_ai_temp6_20260607_192204_7_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.09,,,,,,,,,,0.09
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260607_192204_7_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.0315,,,,,,,,,,0.0315
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260607_192204_7_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.11,,,,,,,,,,0.11
Claude Opus,pd_pd_results_ai_temp6_20260607_193306_8_1,ai,PD,Claude Opus vs GPT-4o,,0.09,,,,,,,,,,0.09
GPT-4o,pd_pd_results_ai_temp6_20260607_193306_8_1,ai,PD,Claude Opus vs GPT-4o,,0.0875,,,,,,,,,,0.0875
Claude Opus,pd_pd_results_ai_temp6_20260607_193306_8_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.099,,,,,,,,,,0.099
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260607_193306_8_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.1935,,,,,,,,,,0.1935
GPT-4o,pd_pd_results_ai_temp6_20260607_193306_8_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.0925,,,,,,,,,,0.0925
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260607_193306_8_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0,0.1575,,,,,,,,,,0.1575
Claude Opus,pd_pd_results_ai_temp6_20260607_193306_8_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1115,,,,,,,,,,0.1115
Claude Sonnet,pd_pd_results_ai_temp6_20260607_193306_8_4,ai,PD,Claude Opus vs Claude Sonnet,,0.105,,,,,,,,,,0.105
GPT-4o,pd_pd_results_ai_temp6_20260607_193306_8_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.0825,,,,,,,,,,0.0825
GPT-4o-mini,pd_pd_results_ai_temp6_20260607_193306_8_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.09,,,,,,,,,,0.09
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260607_193306_8_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,0.0,0.1005,,,,,,,,,,0.1005
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260607_193306_8_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.2625,,,,,,,,,,0.2625
Claude Opus,pd_pd_results_ai_temp6_20260607_194541_9_1,ai,PD,Claude Opus vs GPT-4o,,0.101,,,,,,,,,,0.101
GPT-4o,pd_pd_results_ai_temp6_20260607_194541_9_1,ai,PD,Claude Opus vs GPT-4o,,0.0825,,,,,,,,,,0.0825
Claude Opus,pd_pd_results_ai_temp6_20260607_194541_9_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.0765,,,,,,,,,,0.0765
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260607_194541_9_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.183,,,,,,,,,,0.183
GPT-4o,pd_pd_results_ai_temp6_20260607_194541_9_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.085,,,,,,,,,,0.085
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260607_194541_9_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0,0.11,,,,,,,,,,0.11
Claude Opus,pd_pd_results_ai_temp6_20260607_194541_9_4,ai,PD,Claude Opus vs Claude Sonnet,,0.109,,,,,,,,,,0.109
Claude Sonnet,pd_pd_results_ai_temp6_20260607_194541_9_4,ai,PD,Claude Opus vs Claude Sonnet,,0.083,,,,,,,,,,0.083
GPT-4o,pd_pd_results_ai_temp6_20260607_194541_9_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.0875,,,,,,,,,,0.0875
GPT-4o-mini,pd_pd_results_ai_temp6_20260607_194541_9_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.1,,,,,,,,,,0.1
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260607_194541_9_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,0.0,0.0755,,,,,,,,,,0.0755
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260607_194541_9_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.2625,,,,,,,,,,0.2625
Claude Opus,pd_pd_results_ai_temp6_20260607_195817_10_1,ai,PD,Claude Opus vs GPT-4o,,0.1155,,,,,,,,,,0.1155
GPT-4o,pd_pd_results_ai_temp6_20260607_195817_10_1,ai,PD,Claude Opus vs GPT-4o,,0.0825,,,,,,,,,,0.0825
Claude Opus,pd_pd_results_ai_temp6_20260607_195817_10_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,1.0,0.164,,,,,,,,,,0.164
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260607_195817_10_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,-0.0588,0.1925,,,,,,,,,,0.1925
GPT-4o,pd_pd_results_ai_temp6_20260607_195817_10_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.095,,,,,,,,,,0.095
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260607_195817_10_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0,0.2135,,,,,,,,,,0.2135
Claude Opus,pd_pd_results_ai_temp6_20260607_195817_10_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1075,,,,,,,,,,0.1075
Claude Sonnet,pd_pd_results_ai_temp6_20260607_195817_10_4,ai,PD,Claude Opus vs Claude Sonnet,,0.085,,,,,,,,,,0.085
GPT-4o,pd_pd_results_ai_temp6_20260607_195817_10_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.0825,,,,,,,,,,0.0825
GPT-4o-mini,pd_pd_results_ai_temp6_20260607_195817_10_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.0875,,,,,,,,,,0.0875
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260607_195817_10_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.0315,,,,,,,,,,0.0315
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260607_195817_10_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.0975,,,,,,,,,,0.0975
Claude Opus,pd_pd_results_ai_temp6_20260608_122928_HE_1_1,ai,PD,Claude Opus vs GPT-4o,,0.135,,,,,,,,,,0.135
GPT-4o,pd_pd_results_ai_temp6_20260608_122928_HE_1_1,ai,PD,Claude Opus vs GPT-4o,,0.0975,,,,,,,,,,0.0975
Claude Opus,pd_pd_results_ai_temp6_20260608_122928_HE_1_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.1155,,,,,,,,,,0.1155
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_122928_HE_1_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.13,,,,,,,,,,0.13
GPT-4o,pd_pd_results_ai_temp6_20260608_122928_HE_1_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0,0.29,,,,,,,,,,0.29
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_122928_HE_1_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,-0.0556,0.635,,,,,,,,,,0.635
Claude Opus,pd_pd_results_ai_temp6_20260608_122928_HE_1_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1325,,,,,,,,,,0.1325
Claude Sonnet,pd_pd_results_ai_temp6_20260608_122928_HE_1_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1395,,,,,,,,,,0.1395
GPT-4o,pd_pd_results_ai_temp6_20260608_122928_HE_1_5,ai,PD,GPT-4o vs GPT-4o-mini,0.0444,0.54,,,,,,,,,,0.54
GPT-4o-mini,pd_pd_results_ai_temp6_20260608_122928_HE_1_5,ai,PD,GPT-4o vs GPT-4o-mini,-0.1556,0.53,,,,,,,,,,0.53
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_122928_HE_1_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.0444,,,,,,,,,,0.0444
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260608_122928_HE_1_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.88,,,,,,,,,,0.88
Claude Opus,pd_pd_results_ai_temp6_20260608_181707_HE_2_1,ai,PD,Claude Opus vs GPT-4o,,0.152,,,,,,,,,,0.152
GPT-4o,pd_pd_results_ai_temp6_20260608_181707_HE_2_1,ai,PD,Claude Opus vs GPT-4o,,0.0825,,,,,,,,,,0.0825
Claude Opus,pd_pd_results_ai_temp6_20260608_181707_HE_2_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.1125,,,,,,,,,,0.1125
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_181707_HE_2_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.0875,,,,,,,,,,0.0875
GPT-4o,pd_pd_results_ai_temp6_20260608_181707_HE_2_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.95,,,,,,,,,,0.95
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_181707_HE_2_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0,0.178,,,,,,,,,,0.178
Claude Opus,pd_pd_results_ai_temp6_20260608_181707_HE_2_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1575,,,,,,,,,,0.1575
Claude Sonnet,pd_pd_results_ai_temp6_20260608_181707_HE_2_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1055,,,,,,,,,,0.1055
GPT-4o,pd_pd_results_ai_temp6_20260608_181707_HE_2_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.09,,,,,,,,,,0.09
GPT-4o-mini,pd_pd_results_ai_temp6_20260608_181707_HE_2_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.1,,,,,,,,,,0.1
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_181707_HE_2_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.083,,,,,,,,,,0.083
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260608_181707_HE_2_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.936,,,,,,,,,,0.936
Claude Opus,pd_pd_results_ai_temp6_20260608_184430_HE_3_1,ai,PD,Claude Opus vs GPT-4o,,0.125,,,,,,,,,,0.125
GPT-4o,pd_pd_results_ai_temp6_20260608_184430_HE_3_1,ai,PD,Claude Opus vs GPT-4o,,0.0975,,,,,,,,,,0.0975
Claude Opus,pd_pd_results_ai_temp6_20260608_184430_HE_3_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,,0.109,,,,,,,,,,0.109
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_184430_HE_3_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.0,0.074,,,,,,,,,,0.074
GPT-4o,pd_pd_results_ai_temp6_20260608_184430_HE_3_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.9444,0.26,,,,,,,,,,0.26
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_184430_HE_3_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,-0.0588,0.255,,,,,,,,,,0.255
Claude Opus,pd_pd_results_ai_temp6_20260608_184430_HE_3_4,ai,PD,Claude Opus vs Claude Sonnet,,0.141,,,,,,,,,,0.141
Claude Sonnet,pd_pd_results_ai_temp6_20260608_184430_HE_3_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1065,,,,,,,,,,0.1065
GPT-4o,pd_pd_results_ai_temp6_20260608_184430_HE_3_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.0975,,,,,,,,,,0.0975
GPT-4o-mini,pd_pd_results_ai_temp6_20260608_184430_HE_3_5,ai,PD,GPT-4o vs GPT-4o-mini,,0.09,,,,,,,,,,0.09
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_184430_HE_3_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.1025,,,,,,,,,,0.1025
Gemini 2.5 Flash Lite,pd_pd_results_ai_temp6_20260608_184430_HE_3_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,0.7375,,,,,,,,,,0.7375
Claude Opus,pd_pd_results_ai_temp6_20260608_190103_HE_4_1,ai,PD,Claude Opus vs GPT-4o,0.3333,0.349,,,,,,,,,,0.349
GPT-4o,pd_pd_results_ai_temp6_20260608_190103_HE_4_1,ai,PD,Claude Opus vs GPT-4o,-0.1765,0.7125,,,,,,,,,,0.7125
Claude Opus,pd_pd_results_ai_temp6_20260608_190103_HE_4_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.5,0.2705,,,,,,,,,,0.2705
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_190103_HE_4_2,ai,PD,Claude Opus vs Gemini 2.5 Flash,0.4412,0.54,,,,,,,,,,0.54
GPT-4o,pd_pd_results_ai_temp6_20260608_190103_HE_4_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,,0.1375,,,,,,,,,,0.1375
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_190103_HE_4_3,ai,PD,GPT-4o vs Gemini 2.5 Flash,0.0,0.195,,,,,,,,,,0.195
Claude Opus,pd_pd_results_ai_temp6_20260608_190103_HE_4_4,ai,PD,Claude Opus vs Claude Sonnet,,0.1375,,,,,,,,,,0.1375
Claude Sonnet,pd_pd_results_ai_temp6_20260608_190103_HE_4_4,ai,PD,Claude Opus vs Claude Sonnet,,0.114,,,,,,,,,,0.114
GPT-4o,pd_pd_results_ai_temp6_20260608_190103_HE_4_5,ai,PD,GPT-4o vs GPT-4o-mini,0.7143,0.425,,,,,,,,,,0.425
GPT-4o-mini,pd_pd_results_ai_temp6_20260608_190103_HE_4_5,ai,PD,GPT-4o vs GPT-4o-mini,-0.4,0.5025,,,,,,,,,,0.5025
Gemini 2.5 Flash,pd_pd_results_ai_temp6_20260608_190103_HE_4_6,ai,PD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,0.0,0.137,,,,,,,,,,0.137
